"","city","aypi"
"492","FEDERAL WAY",0.0144850688070124
"493","CHERRY HILL TOWNSHIP",0.000212405168700177
"494","SOMERVILLE",0.00125701503843213
"495","NEW BRITAIN",-0.000552284949920677
"496","TYLER",0.0116668808156499
"497","EVANSTON",0.00161068439883276
"498","MIDLAND",0.0189219363626913
"499","WILMINGTON",0.000809927325376354
"500","COLONIE TOWN",0.00339954715613526
"501","CLINTON TOWNSHIP",0.0123660097891292
"502","KALAMAZOO",-0.00136878790105057
"503","FORT SMITH",0.00619233701207475
"504","SOUTHFIELD",-0.000595797901043779
"505","CLIFTON",0.00457998460570119
"506","SCRANTON",-0.00534005003711249
"507","CRANSTON",0.00354720146907383
"508","PLANO",0.0411132951230829
"509","GAINESVILLE",0.0193235256481442
"510","CANTON",-0.00820506780050558
"511","ST. JOSEPH",0.00322318578738868
"512","SAN ANGELO",0.00900216849054808
"513","TUSCALOOSA",0.00859457145062482
"514","LAKEWOOD",0.00285112452137026
"515","BELLEVUE",0.0184603825663117
"516","EL CAJON",0.00990316986289571
"517","PROVO",0.0148898645814096
"518","RICHMOND",0.0113613035329323
"519","ALBANY",0.00130875423832884
"520","DECATUR",-0.0111243756612868
"521","OCEANSIDE",0.0256562315079032
"522","READING",0.00368013110351251
"523","JOLIET",0.0223450998118893
"524","SANTA BARBARA",0.00598202685457399
"525","VENTURA",0.0113188876395894
"526","KENOSHA",0.00796366369973581
"527","HAMMOND",-0.00488976024427463
"528","BOULDER",0.00965913060245801
"529","NORWALK",0.00433871729921424
"530","ARVADA",0.0116974536009806
"531","CLARKSTOWN TOWN",0.000987641944742898
"532","WEST VALLEY",0.0192588585835828
"533","DALY CITY",0.00954627937933537
"534","AURORA",0.0179768705448449
"535","PARMA",-0.00500689264191799
"536","VALLEJO",0.0140084122130414
"537","SIMI VALLEY",0.0146746969836571
"538","WEST COVINA",0.0100838084762479
"539","UPPER DARBY TOWNSHIP",-0.000329158552323481
"540","CHEEKTOWAGA TOWN",-0.00551481444605606
"541","THOUSAND OAKS",0.0162574246204971
"542","GARY",-0.0187359927037379
"543","RACINE",-0.00246702079381425
"544","WESTLAND",-0.0006319257100801
"545","LYNN",0.00544514034699475
"546","SAN MATEO",0.00809968462359108
"547","SALEM",0.0166689123077766
"548","SIOUX CITY",0.00024068833574263
"549","COMPTON",0.00658256780470118
"550","EL MONTE",0.0116713005342497
"551","LAFAYETTE",0.0139465570786176
"552","LAWTON",0.00646333812661181
"553","BLOOMINGTON",0.00202003008380661
"554","SALINAS",0.0206913971251563
"555","SIOUX FALLS",0.0173562405491786
"556","NEWTON",0.00199325566467601
"557","TALLAHASSEE",0.0273447210957941
"558","VISTA",0.0106513418702732
"559","COSTA MESA",0.00982779754576663
"560","OVERLAND PARK",0.0346323096732939
"561","WARWICK",-0.00168110820744797
"562","SANTA ROSA",0.0226000628786504
"563","SPOKANE VALLEY",0.00995438775000829
"564","DULUTH",-0.00196772917507268
"565","TRENTON",-0.00204669286154213
"566","DOWNEY",0.00989248139656063
"567","SANDY SPRINGS",0.0250028160296514
"568","QUINCY",0.00338838484418974
"569","CITRUS HEIGHTS",0.00277204392711236
"570","MIAMI BEACH",0.000832090879402883
"571","BURBANK",0.0067591552484082
"572","BROWNSVILLE",0.0237891475174084
"573","CHULA VISTA",0.0348005772533546
"574","CARSON",0.00286810257385428
"575","SANTA MONICA",0.00196610023876483
"576","NORWALK",0.00676659170208551
"577","DEARBORN",0.00201726890908962
"578","GREECE TOWN",0.00528501011545393
"579","CLEARWATER",0.00757545198698954
"580","SANTA CLARA",0.0098304545138034
"581","SCOTTSDALE",0.0301246355654394
"582","ONTARIO",0.0196927701751518
"583","BROCKTON",-5.4495377082407e-05
"584","GREEN BAY",0.00536085048279659
"585","PORT ST. LUCIE",0.0495843586580975
"586","FALL RIVER",-0.001009431975837
"587","ODESSA",0.00708934020456483
"588","LIVONIA",-0.00275609419269912
"589","WOODBRIDGE TOWNSHIP",0.00335952579455818
"590","CAMBRIDGE",0.00401631377251888
"591","MANCHESTER",0.00593110014202296
"592","ROANOKE",-6.30212180549353e-05
"593","TOMS RIVER TOWNSHIP",-0.00393159132825823
"594","LAREDO",0.0304791510524607
"595","ATHENS-CLARKE COUNTY",0.0195782098668908
"596","ORANGE",0.0128166840704531
"597","NEW BEDFORD",-0.000805242806664937
"598","EDISON TOWNSHIP",0.00522355378105069
"599","AMARILLO",0.00423084289341312
"600","LOWELL",0.00735092697785246
"601","POMONA",0.0150141973888747
"602","GLENDALE",0.0285264203905187
"603","ALBANY",-0.000644851662982241
"604","WICHITA FALLS",0.00364863022875437
"605","INGLEWOOD",0.00521849742351632
"606","HAYWARD",0.0145608176968496
"607","COLUMBIA",0.00969877806932302
"608","DAVENPORT",-4.21960746822231e-05
"609","PORTSMOUTH",-0.00204328921084669
"610","JURUPA VALLEY",0.00686369341907269
"611","ABILENE",0.00502690056381905
"612","CENTENNIAL",0.0041022493441774
"613","SANTA CLARITA",0.0312152283069972
"614","ANN ARBOR",0.00488447015100537
"615","PUEBLO",0.00238584074605938
"616","MIAMI GARDENS",0.00702767030530308
"617","SPRINGFIELD",0.00526326523189769
"618","FLINT",-0.0136858260776355
"619","DURHAM",0.029072619432771
"620","SOUTH BEND",-0.00210135373519484
"621","BERKELEY",0.00431151397750728
"622","ERIE",-0.00489317796292553
"623","STAMFORD",0.00681700528505464
"624","ALLENTOWN",0.0041605054989207
"625","RENO",0.0255010122479403
"626","WACO",0.00754878061881886
"627","FULLERTON",0.00943964284218251
"628","CONCORD",0.00651874461389847
"629","EUGENE",0.0126596982488856
"630","BOISE",0.0227653312416417
"631","WATERBURY",0.00210559144226036
"632","ALEXANDRIA",0.0116465304349756
"633","AMHERST TOWN",0.00517006201038709
"634","ELIZABETH",0.00588496946069301
"635","MODESTO",0.0201546797177183
"636","TEMPE",0.0154970735431853
"637","SUNNYVALE",0.0102213183361719
"638","CEDAR RAPIDS",0.00621100981239124
"639","STERLING HEIGHTS",0.00562254173859492
"640","LANSING",-0.00392195691627662
"641","PEORIA",-0.00159843519922767
"642","INDEPENDENCE",0.00172204297305791
"643","BEAUMONT",0.000402996335536757
"644","IRVING",0.0226696689099295
"645","PASADENA",0.00955022086768308
"646","BAKERSFIELD",0.0360764541768912
"647","ELK GROVE",0.0485322416450567
"648","CHESAPEAKE",0.0227964705606308
"649","LAKEWOOD",0.00823704023908142
"650","EVANSVILLE",-0.00208597751522191
"651","OXNARD",0.0170222764840493
"652","TOPEKA",0.00305676032277421
"653","HOLLYWOOD",0.00741222722087365
"654","SAN BERNARDINO",0.020147413315207
"655","PASADENA",0.00528354487084704
"656","MORENO VALLEY",0.0228799173404181
"657","NEW HAVEN",0.00147302891972947
"658","HARTFORD",-0.00216050108417213
"659","HAMPTON",0.00339708578835384
"660","GARDEN GROVE",0.0101968531558291
"661","ORLANDO",0.0218476566976803
"662","AURORA",0.0262178229698795
"663","TORRANCE",0.00367655608239186
"664","FREMONT",0.0164920650661822
"665","WINSTON-SALEM",0.0185251199474015
"666","BRIDGEPORT",0.00121788118578576
"667","SPRINGFIELD",0.00654030497779269
"668","WARREN",-0.00556391615871974
"669","ROCKFORD",0.00219066979588978
"670","SYRACUSE",-0.0046272075322972
"671","GLENDALE",0.0108538825477732
"672","PATERSON",0.00180403124908501
"673","GARLAND",0.016063534325072
"674","DAYTON",-0.00860621803054827
"675","KANSAS CITY",-0.0029848790121458
"676","HUNTSVILLE",0.00853119428108592
"677","HIALEAH",0.0171401957671077
"678","NEWPORT NEWS",0.00694452631181676
"679","SPRINGFIELD",0.000364982459667763
"680","CHATTANOOGA",0.00189337315236485
"681","PROVIDENCE",0.00428903506170063
