"","city","aypi","population"
"533","DALY CITY",0.00954627937933537,105628
"534","AURORA",0.0179768705448449,136425
"535","PARMA",-0.00500689264191799,80168
"536","VALLEJO",0.0140084122130414,119504
"537","SIMI VALLEY",0.0146746969836571,126604
"538","WEST COVINA",0.0100838084762479,108136
"539","UPPER DARBY TOWNSHIP",-0.000329158552323481,82843
"540","CHEEKTOWAGA TOWN",-0.00551481444605606,78209
"541","THOUSAND OAKS",0.0162574246204971,129175
"542","GARY",-0.0187359927037379,78013
"543","RACINE",-0.00246702079381425,78057
"544","WESTLAND",-0.0006319257100801,82246
"545","LYNN",0.00544514034699475,92131
"546","SAN MATEO",0.00809968462359108,102082
"547","SALEM",0.0166689123077766,137031
"548","SIOUX CITY",0.00024068833574263,82366
"549","COMPTON",0.00658256780470118,98224
"550","EL MONTE",0.0116713005342497,116220
"551","LAFAYETTE",0.0139465570786176,125122
"552","LAWTON",0.00646333812661181,96966
"553","BLOOMINGTON",0.00202003008380661,87163
"554","SALINAS",0.0206913971251563,156908
"555","SIOUX FALLS",0.0173562405491786,143207
"556","NEWTON",0.00199325566467601,88881
"557","TALLAHASSEE",0.0273447210957941,187573
"558","VISTA",0.0106513418702732,97651
"559","COSTA MESA",0.00982779754576663,112709
"560","OVERLAND PARK",0.0346323096732939,183108
"561","WARWICK",-0.00168110820744797,82123
"562","SANTA ROSA",0.0226000628786504,172991
"563","SPOKANE VALLEY",0.00995438775000829,91382
"564","DULUTH",-0.00196772917507268,86106
"565","TRENTON",-0.00204669286154213,84324
"566","DOWNEY",0.00989248139656063,113595
"567","SANDY SPRINGS",0.0250028160296514,101184
"568","QUINCY",0.00338838484418974,94035
"569","CITRUS HEIGHTS",0.00277204392711236,85758
"570","MIAMI BEACH",0.000832090879402883,91771
"571","BURBANK",0.0067591552484082,105041
"572","BROWNSVILLE",0.0237891475174084,183433
"573","CHULA VISTA",0.0348005772533546,259894
"574","CARSON",0.00286810257385428,92838
"575","SANTA MONICA",0.00196610023876483,93151
"576","NORWALK",0.00676659170208551,106838
"577","DEARBORN",0.00201726890908962,95396
"578","GREECE TOWN",0.00528501011545393,97144
"579","CLEARWATER",0.00757545198698954,110075
"580","SANTA CLARA",0.0098304545138034,121114
"581","SCOTTSDALE",0.0301246355654394,229325
"582","ONTARIO",0.0196927701751518,168278
"583","BROCKTON",-5.4495377082407e-05,94427
"584","GREEN BAY",0.00536085048279659,104979
"585","PORT ST. LUCIE",0.0495843586580975,172453
"586","FALL RIVER",-0.001009431975837,88915
"587","ODESSA",0.00708934020456483,111651
"588","LIVONIA",-0.00275609419269912,94833
"589","WOODBRIDGE TOWNSHIP",0.00335952579455818,100969
"590","CAMBRIDGE",0.00401631377251888,108201
"591","MANCHESTER",0.00593110014202296,110571
"592","ROANOKE",-6.30212180549353e-05,98941
"593","TOMS RIVER TOWNSHIP",-0.00393159132825823,91634
